brand,lokasi,tahun,harga
Yamaha Fazzio 2022 Km 2 Rb An Asli B Dki,"Pesanggrahan, Jakarta Selatan",,Rp 19.250.000
JUAL KAWASAKI PULSAR 200 CC MULUS SIAP PAKAI DAN SIAP TOURING,"Pancoran, Jakarta Selatan",,Rp 4.900.000
Honda PCX 160 ABS 2021 Blue (Istimewa),"Kebayoran Baru, Jakarta Selatan",,Rp 30.400.000
CBR 150R 2021 sport fairing,"Kebayoran Lama, Jakarta Selatan",,Rp 23.000.000
(DP 1 Jt) Beat CBS ISS Hitam 2022 Cash & Kredit‼️,"Kebayoran Lama, Jakarta Selatan",,Rp 14.900.000
Honda Supra X Helm In 2011,"Kebayoran Lama, Jakarta Selatan",,Rp 5.250.000
REVO CW FI TH 2017'ANGSURAN 300rbn KTP DAERAH BSA CASH /TT/CC BUNGA 0%,"Pesanggrahan, Jakarta Selatan",,Rp 8.500.000
REVO CW FI TH 2017[ANGSURAN 300rbn KTP DAERAH BSA CASH TT CC 0%SPAY,"Pasar Minggu, Jakarta Selatan",,Rp 8.500.000
REVO CW FI TH 2017;ANGSURAN SUPER RINGAN 300rbn KTP DAERAH BSA CASH/TT,"Mampang Prapatan, Jakarta Selatan",,Rp 8.500.000
REVO CW FI 2017*ANGSURAN 300rbn KTP DAERAH BSA CASH/ TT CC BUNGA 0%,"Kebayoran Lama, Jakarta Selatan",,Rp 8.500.000
REVO CW FI 2017:ANGSURAN 300rbn KTP DAERAH BSA CASH/TT CC  0%/SPAY,"Cilandak, Jakarta Selatan",,Rp 8.500.000
Yamaha Mio Soul Gt115 Injeksi 2013 Pancoran,"Pancoran, Jakarta Selatan",,Rp 6.200.000
Yamaha Mio Soul Gt115 Injeksi 2013 Mampangprapatan,"Mampang Prapatan, Jakarta Selatan",,Rp 6.200.000
Yamaha Mio Soul Gt115 Injeksi 2013 Kebayoranlama,"Kebayoran Lama, Jakarta Selatan",,Rp 6.200.000
For Sale Honda New Cbr 150 Facelift Cash/Kredit,"Mampang Prapatan, Jakarta Selatan",,Rp 17.800.000
Vespa Primavera 50th Anniversary 2018 Limited Edition - Low KM,"Kebayoran Baru, Jakarta Selatan",,Rp 45.900.000
Jual Motor Honda Beat 2023 Kondisi Mulus Tinggal Gas,"Pasar Minggu, Jakarta Selatan",,Rp 15.500.000
BMW CE04 ELECTRIC VEHICLE,"Kebayoran Lama, Jakarta Selatan",,Rp 500.000.000
JUAL NINJA ORI SS,"Kebayoran Lama, Jakarta Selatan",,Rp 69.000.000
"Spacy 2012 (sdh Injection), Jarang Pakai.","Pancoran, Jakarta Selatan",,Rp 7.250.000
